Lp;Nazwa jednostki;Regon;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Teren dzia?ania;Telefon kontaktowy;Adres email do korespondencji;Okres dzia?ania od;Okres dzia?ania do;Liczebno?? jednostki;Okres pozostawania w gotowo?ci w ci?gu roku od 1;Okres pozostawania w gotowo?ci w ci?gu roku do 1;Czas pozostawania w gotowo?ci w ci?gu doby (w godzinach) 1;Czas osi?gni?cia gotowo?ci (w minutach) 1;Liczebno?? jednostki 1;Rodzaj jednostki;Rodzaj ratownictwa
48;Ochotnicza Stra? Po?arna w Legb?dzie;92520676;PL;KUJAWSKO-POMORSKIE;tucholski;Tuchola;Legb?d;89-504;ul. Szkolna;4;;PL;KUJAWSKO-POMORSKIE;tucholski;Tuchola;Legb?d;89-504;ul. Szkolna;4;;Wszystkie;523361227;kppsp_tuchola@kujawy.psp.gov.pl;;;28;1 stycze?;31 grudzie?;24;pa?.24;8;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
49;Ochotnicza Stra? Po?arna w Skrwilnie;911348502;PL;KUJAWSKO-POMORSKIE;rypi?ski;Skrwilno;Skrwilno;87-510;ul. Rypi?ska;9;;PL;KUJAWSKO-POMORSKIE;rypi?ski;Skrwilno;Skrwilno;87-510;ul. Rypi?ska;9;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;48512576712;;01.01.2017;;17;;;;;;Organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
50;?ubki OSP KSRG;871255145;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Radomin;?ubki;87-404;;5;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Radomin;?ubki;87-404;;5;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;500670476;cachnijk@kujawy.psp.gov.pl;15.07.1997;;12;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
51;Ochotnicza Stra? Po?arna w Rogowie;911307704;PL;KUJAWSKO-POMORSKIE;rypi?ski;Rogowo;Rogowo;87-515;;62;;PL;KUJAWSKO-POMORSKIE;rypi?ski;Rogowo;Rogowo;87-515;;62;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;48697713827;;01.01.2017;;17;;;;;;Organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
52;Zbójno OSP KSRG;340280105;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Zbójno;Zbójno;87-645;;142;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Zbójno;Zbójno;87-645;;142;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;609770832;cachnijk@kujawy.psp.gov.pl;05.04.1995;;12;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
53;Dzia?y? OSP KSRG;340280080;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Zbójno;Nowy Dzia?y?;87-646;;23;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Zbójno;Nowy Dzia?y?;87-646;;23;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;605037326;cachnijk@kujawy.psp.gov.pl;27.05.2009;;12;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
54;?wi?tos?aw OSP KSRG;871245862;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Ciechocin;?wi?tos?aw;87-408;;156;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Ciechocin;?wi?tos?aw;87-408;;156;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;500095955;cachnijk@kujawy.psp.gov.pl;28.03.2001;;12;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
55;Ochotnicza Stra? Po?arna w ?liwicach;92520682;PL;KUJAWSKO-POMORSKIE;tucholski;?liwice;?liwice;89-530;ul. Dworcowa;11;;PL;KUJAWSKO-POMORSKIE;tucholski;?liwice;?liwice;89-530;ul. Dworcowa;11;;Wszystkie;523361227;kppsp_tuchola@kujawy.psp.gov.pl;;;30;1 stycze?;31 grudzie?;24;pa?.24;5;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
56;Ochotnicza Stra? Po?arna w Gi?ynku;911247126;PL;KUJAWSKO-POMORSKIE;rypi?ski;Brzuze;Gi?ynek;87-517;;39;;PL;KUJAWSKO-POMORSKIE;rypi?ski;Brzuze;Gi?ynek;87-517;;39;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;48608229657;;01.01.2017;;17;;;;;;Organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo medyczne , Inne specjalistyczne (Ratownictwo wysoko?ciowe w zakresie podstawowym)
57;Ochotnicza Stra? Po?arna w Bia?o?ewinie;;PL;KUJAWSKO-POMORSKIE;?ni?ski;?nin;Bia?o?ewin;88-400;;7;;PL;KUJAWSKO-POMORSKIE;?ni?ski;?nin;Bia?o?ewin;88-400;;7;;KUJAWSKO-POMORSKIE/?ni?ski/?nin (obszar wiejski);667947680;;02.07.1997;;45;;;;;;Stowarzyszenie;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
58;Ochotnicza Stra? Po?arna w G?sawie;93044108;PL;KUJAWSKO-POMORSKIE;?ni?ski;G?sawa;G?sawa;88-410;ul. ?ni?ska;19;;PL;KUJAWSKO-POMORSKIE;?ni?ski;G?sawa;G?sawa;88-410;ul. ?ni?ska;19;;Wszystkie;608718486;;29.04.1995;;45;;;;;;Stowarzyszenie;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
59;Komenda Powiatowa Pa?stwowej Stra?y Po?arnej w Rypinie;910870099;PL;KUJAWSKO-POMORSKIE;rypi?ski;Rypin;Rypin;87-500;ul. Stra?acka;4;;PL;KUJAWSKO-POMORSKIE;rypi?ski;Rypin;Rypin;87-500;ul. Stra?acka;4;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;542803737;rypin@kujawy.psp.gov.pl;01.01.2017;;45;;;;;;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
60;Ochotnicza Stra? Po?arna w Kowalkach;910291361;PL;KUJAWSKO-POMORSKIE;rypi?ski;Rypin;Kowalki;87-500;;13;;PL;KUJAWSKO-POMORSKIE;rypi?ski;Rypin;Kowalki;87-500;;13;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;48666159019;;01.01.2017;;20;;;;;;Organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
61;Komenda Powiatowa Pa?stwowej Stra?y Po?arnej;92366175;PL;KUJAWSKO-POMORSKIE;s?pole?ski;S?pólno Kraje?skie;S?pólno Kraje?skie;89-400;ul. Sienkiewicza;54;;PL;KUJAWSKO-POMORSKIE;s?pole?ski;S?pólno Kraje?skie;S?pólno Kraje?skie;89-400;ul. Sienkiewicza;54;;KUJAWSKO-POMORSKIE/s?pole?ski/Wszystkie;523888350;sepolno@kujawy.psp.gov.pl;01.01.1999;;1;;;;;;Inna organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze , Inne specjalistyczne 
62;Ochotnicza Stra? Po?arna w Sad?owie;910304336;PL;KUJAWSKO-POMORSKIE;rypi?ski;Rypin;Sad?owo;87-500;;41;;PL;KUJAWSKO-POMORSKIE;rypi?ski;Rypin;Sad?owo;87-500;;41;;KUJAWSKO-POMORSKIE/rypi?ski/Wszystkie;48511106881;;01.01.2017;;18;;;;;;Organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
63;Jednostka Ratowniczo Ga?nicza PSP Golub-Dobrzy?;871124294;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Golub-Dobrzy?;Golub-Dobrzy?;87-400;ul. Lipnowska;9;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Golub-Dobrzy?;Golub-Dobrzy?;87-400;ul. Lipnowska;9;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;533656998;kppsp_golub-dobrzyn@kujawy.psp.gov.pl;;;44;;;24;sty.24;44;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
64;Ochotnicza Stra? Po?arna Solec Kujawski;91464622;PL;KUJAWSKO-POMORSKIE;bydgoski;Solec Kujawski;Solec Kujawski;86-050;ul. 29 Listopada;6;;PL;KUJAWSKO-POMORSKIE;bydgoski;Solec Kujawski;Solec Kujawski;86-050;ul. 29 Listopada;6;;KUJAWSKO-POMORSKIE/bydgoski/Solec Kujawski (miasto);525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;42;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
65;Ochotnicza Stra? Po?arna Czar?e;340392175;PL;KUJAWSKO-POMORSKIE;bydgoski;D?browa Che?mi?ska;Czar?e;86-070;ul. Che?mi?ska;66;;PL;KUJAWSKO-POMORSKIE;bydgoski;D?browa Che?mi?ska;Czar?e;86-070;ul. Che?mi?ska;66;;KUJAWSKO-POMORSKIE/bydgoski/D?browa Che?mi?ska (gmina wiejska);525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;37;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
66;Ochotnicza Stra? Po?arna w Bys?awiu;92520564;PL;KUJAWSKO-POMORSKIE;tucholski;Lubiewo;Bys?aw;89-510;ul. Stra?acka ;1;;PL;KUJAWSKO-POMORSKIE;tucholski;Lubiewo;Bys?aw;89-510;ul. Stra?acka;1;;Wszystkie;523361227;kppsp_tuchola@kujawy.psp.gov.pl;;;33;1 stycze?;31 grudzie?;24;pa?.24;18;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
67;Ochotnicza Stra? Po?arna D?browa Che?mi?ska;340374243;PL;KUJAWSKO-POMORSKIE;bydgoski;D?browa Che?mi?ska;D?browa Che?mi?ska;86-070;ul. Stra?acka;2;;PL;KUJAWSKO-POMORSKIE;bydgoski;D?browa Che?mi?ska;D?browa Che?mi?ska;86-070;ul. Stra?acka;2;;KUJAWSKO-POMORSKIE/bydgoski/D?browa Che?mi?ska (gmina wiejska);525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;39;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
68;Ochotnicza Stra? Po?arna Dobrcz;92526561;PL;KUJAWSKO-POMORSKIE;bydgoski;Dobrcz;Dobrcz;86-022;ul. Ogrodowa;1;;PL;KUJAWSKO-POMORSKIE;bydgoski;Dobrcz;Dobrcz;86-022;ul. Ogrodowa;1;;KUJAWSKO-POMORSKIE/bydgoski/Dobrcz (gmina wiejska);525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;23;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
69;Ochotnicza Stra? Po?arna w Cekcynie;92521670;PL;KUJAWSKO-POMORSKIE;tucholski;Cekcyn;Cekcyn;89-511;ul. Ogrodowa;17;;PL;KUJAWSKO-POMORSKIE;tucholski;Cekcyn;Cekcyn;89-511;ul. Ogrodowa;17;;Wszystkie;523361227;kppsp_tuchola@kujawy.psp.gov.pl;;;29;1 stycze?;31 grudzie?;24;pa?.24;15;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
70;Ochotnicza Stra? Po?arna Go?cieradz;92932887;PL;KUJAWSKO-POMORSKIE;bydgoski;;Go?cieradz;86-010;ul. Stra?acka;1;;PL;KUJAWSKO-POMORSKIE;bydgoski;;Go?cieradz;86-010;ul. Stra?acka;1;;KUJAWSKO-POMORSKIE/bydgoski/Koronowo (obszar wiejski);525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;35;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
71;Kowalewo Pomorskie OSP KSRG;340234111;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Kowalewo Pomorskie;Kowalewo Pomorskie;87-410;ul. Stra?acka;2;;PL;KUJAWSKO-POMORSKIE;golubsko-dobrzy?ski;Kowalewo Pomorskie;Kowalewo Pomorskie;87-410;ul. Stra?acka;2;;KUJAWSKO-POMORSKIE/golubsko-dobrzy?ski/Wszystkie;724740369;cachnijk@kujawy.psp.gov.pl;12.07.1995;;12;;;24;maj.24;12;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
72;Ochotnicza Stra? Po?arna Koronowo;91543385;PL;KUJAWSKO-POMORSKIE;bydgoski;Koronowo;Koronowo;86-010;ul. Ogrodowa;59;;PL;KUJAWSKO-POMORSKIE;bydgoski;Koronowo;Koronowo;86-010;ul. Ogrodowa;59;;KUJAWSKO-POMORSKIE/bydgoski/Wszystkie;525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;30;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
73;Ochotnicza Stra? Po?arna w K?sowie;92526733;PL;KUJAWSKO-POMORSKIE;tucholski;K?sowo;K?sowo;89-506; Wyzwolenia;10;;PL;KUJAWSKO-POMORSKIE;tucholski;K?sowo;K?sowo;89-506; Wyzwolenia;10;;Wszystkie;523361227;kppsp_tuchola@kujawy.psp.gov.pl;;;20;1 stycze?;31 grudzie?;24;pa?.24;6;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
74;Ochotnicza Stra? Po?arna M?kowarsko;91559452;PL;KUJAWSKO-POMORSKIE;bydgoski;Koronowo;M?kowarsko;86-013;ul. Tucholska;29a;;PL;KUJAWSKO-POMORSKIE;bydgoski;Koronowo;M?kowarsko;86-013;ul. Tucholska;29a;;KUJAWSKO-POMORSKIE/bydgoski/Wszystkie;525848861;msk@kmpspbydgoszcz.pl;;;;01.cze;31 grudzie?;24;sie.24;23;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
75;Ochotnicza Stra? Po?arna Brzoza;92481545;PL;KUJAWSKO-POMORSKIE;bydgoski;Nowa Wie? Wielka;Brzoza;86-061;ul. Przemys?owa;1b;;PL;KUJAWSKO-POMORSKIE;bydgoski;Nowa Wie? Wielka;Brzoza;86-061;ul. Przemys?owa;1b;;KUJAWSKO-POMORSKIE/bydgoski/Wszystkie;525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;28;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
76;Ochotnicza Stra? Po?arna Nowa Wie? Wielka;91509738;PL;KUJAWSKO-POMORSKIE;bydgoski;Nowa Wie? Wielka;Nowa Wie? Wielka;86-060;al. Pokoju;7;;PL;KUJAWSKO-POMORSKIE;bydgoski;Nowa Wie? Wielka;Nowa Wie? Wielka;86-060;al. Pokoju;7;;KUJAWSKO-POMORSKIE/bydgoski/Nowa Wie? Wielka (gmina wiejska);525848861;msk@kmpspbydgoszcz.pl;;;;1 stycze?;31 grudzie?;24;sie.24;30;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
77;Ochotnicza Stra? Po?arna w Lubiewie;92521820;PL;KUJAWSKO-POMORSKIE;tucholski;Lubiewo;Lubiewo;89-526;ul. Wojska Polskiego;8;;PL;KUJAWSKO-POMORSKIE;tucholski;Lubiewo;Lubiewo;89-526;ul. Wojska Polskiego;8;;Wszystkie;523361227;kppsp_tuchola@kujawy.psp.gov.pl;;;33;1 stycze?;31 grudzie?;24;pa?.24;7;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
78;Rybnicki Sztab Ratownictwa;240629083;PL;?L?SKIE;Rybnik;Rybnik;Rybnik;44-200;ul. Kar?owicza;27;;PL;?L?SKIE;Rybnik;Rybnik;Rybnik;44-200;ul. Rudzka;13;lut.27;?L?SKIE/Wszystkie;501134488;ratrybnik@o2.pl;18.09.2017;01.01.2019;25;1 stycze?;31 grudzie?;24;30/24;40;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
79;Ochotnicza Stra? Po?arna w Zabrzegu;273472405;PL;?L?SKIE;bielski;Czechowice-Dziedzice;Zabrzeg;43-516;ul. Tadeusza Gazdy;3;;PL;?L?SKIE;bielski;Czechowice-Dziedzice;Zabrzeg;43-516;ul. Tadeusza Gazdy;3;;?L?SKIE/bielski/Czechowice-Dziedzice (obszar wiejski);322157218;ospzabrzeg@onet.eu;;;20;1 stycze?;31 grudzie?;24;15/24;20;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
80;Beskidzkie Wodne Ochotnicze Pogotowie Ratunkowe;70703632;PL;?L?SKIE;Bielsko-Bia?a;Bielsko-Bia?a;Bielsko-Bia?a;43-300;ul. 1 Maja;47;;PL;?L?SKIE;Bielsko-Bia?a;Bielsko-Bia?a;Bielsko-Bia?a;43-300;ul. 1 Maja;47;;?L?SKIE/Bielsko-Bia?a/Wszystkie, ?L?SKIE/bielski/Wszystkie, ?L?SKIE/cieszy?ski/Wszystkie, ?L?SKIE/?ywiecki/Wszystkie;33 812 37 86;biuro@wopr.bielsko.pl;10.04.2014;;819;;;;;;Podmioty uprawnione do wykonywania ratownictwa wodnego;Ratownictwo wodne 
81;Grupa Regionalna GOPR Grupa Jurajska;706869;PL;?L?SKIE;zawiercia?ski;Kroczyce;Podlesice;42-425;;;;PL;?L?SKIE;zawiercia?ski;Kroczyce;Podlesice;42-425;;;;?L?SKIE/cz?stochowski/Janów (gmina wiejska), ?L?SKIE/cz?stochowski/Lelów (gmina wiejska), ?L?SKIE/cz?stochowski/Mstów (gmina wiejska), ?L?SKIE/cz?stochowski/Poczesna (gmina wiejska), ?L?SKIE/cz?stochowski/Przyrów (gmina wiejska), ?L?SKIE/cz?stochowski/Koniecpol (obszar wiejski), ?L?SKIE/myszkowski/Myszków (gmina miejska), ?L?SKIE/myszkowski/Niegowa (gmina wiejska), ?L?SKIE/myszkowski/Poraj (gmina wiejska), ?L?SKIE/myszkowski/Kozieg?owy (obszar wiejski), ?L?SKIE/myszkowski/?arki (obszar wiejski), ?L?SKIE/zawiercia?ski/Wszystkie, ?L?SKIE/b?dzi?ski/Siewierz (obszar wiejski), MA?OPOLSKIE/olkuski/Wszystkie, MA?OPOLSKIE/chrzanowski/Alwernia (obszar wiejski), MA?OPOLSKIE/chrzanowski/Chrzanów (obszar wiejski), MA?OPOLSKIE/krakowski/Liszki (gmina wiejska), MA?OPOLSKIE/krakowski/Su?oszowa (gmina wiejska), MA?OPOLSKIE/krakowski/Wielka Wie? (gmina wiejska), MA?OPOLSKIE/krakowski/Krzeszowice (obszar wiejski), MA?OPOLSKIE/krakowski/Ska?a (obszar wiejski), MA?OPOLSKIE/krakowski/Zabierzów (gmina wiejska);343152241;biuro@goprjura.pl;;;134;;;;;;Podmioty uprawnione do wykonywania ratownictwa górskiego;Ratownictwo górskie , Ratownictwo poszukiwawcze 
82;Centralna Stacja Ratownictwa Górniczego S.A.;23432;PL;?L?SKIE;Bytom;Bytom;Bytom;41-902;;25;;PL;?L?SKIE;Bytom;Bytom;Bytom;41-902;ul. Chorzowska;25;;Wszystkie;322822525;info@csrg.bytom.pl;;;67;;;;;;Grupa ratownictwa górniczego;Inne specjalistyczne 
83;Grupa Regionalna GOPR Grupa Beskidzka;706869;PL;?L?SKIE;bielski;Szczyrk;Szczyrk;43-370;ul. D?bowa;2;;PL;?L?SKIE;bielski;Szczyrk;Szczyrk;43-370;ul. D?bowa;2;;?L?SKIE/Wszystkie, MA?OPOLSKIE/Wszystkie;48338296900;poczta@beskidy.gopr.pl;25.11.1952;;;;;;;;Podmioty uprawnione do wykonywania ratownictwa górskiego;Ratownictwo techniczne , Ratownictwo górskie , Ratownictwo górskie i wysokogórskie , Ratownictwo poszukiwawcze , Inne specjalistyczne 
84;Ochotnicza Stra? Po?arna Chwa?owice;273821828;PL;?L?SKIE;Rybnik;Rybnik;Rybnik;;ul. Józefa Szulika;7;;PL;?L?SKIE;Rybnik;Rybnik;Rybnik;;ul. Józefa Szulika;7;;?L?SKIE/Rybnik/Rybnik (gmina miejska);604908134;m.kula@wp.pl;;;28;;;;;;Inna organizacja spo?eczna;Ratownictwo podczas po?arów , Ratownictwo techniczne 
85;OCHOTNICZA STRA? PO?ARNA RYBNIK-GRABOWNIA;273868899;PL;?L?SKIE;Rybnik;Rybnik;Rybnik;44-207;ul. Wiktora Poloczka;76 c;;PL;?L?SKIE;Rybnik;Rybnik;Rybnik;44-207;ul. Wiktora Poloczka;76 c;;?L?SKIE/Rybnik/Rybnik (gmina miejska);698653051;kukut@onet.eu;;;25;1 stycze?;31 grudzie?;24;lip.24;25;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Inne specjalistyczne (USUWANIE GNIAZD OS I SZERSZENI)
86;Ochotnicza Stra? Po?arna w Go?uchowicach;273887448;PL;?L?SKIE;b?dzi?ski;Siewierz;Go?uchowice;42-470;;82;;PL;?L?SKIE;b?dzi?ski;Siewierz;Go?uchowice;42-470;;82;;?L?SKIE/b?dzi?ski/Siewierz (miasto);504541616;goluchowice@osp.siewierz.pl;02.01.1928;;43;;;;;;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
87;Ochotnicza Stra? Po?arna w Przeg?dzy;276109929;PL;?L?SKIE;rybnicki;Czerwionka-Leszczyny;Przeg?dza;44-238;ul. Szkolna;13;;PL;?L?SKIE;rybnicki;Czerwionka-Leszczyny;Przeg?dza;44-238;ul. Szkolna;13;;?L?SKIE/rybnicki/Czerwionka-Leszczyny (obszar wiejski);600974736;ireneuszk858@interia.pl;;;30;;;;;;Stowarzyszenie;Ratownictwo podczas po?arów , Ratownictwo techniczne 
88;"Ochotnicza Stra? Po?arna ""Gryf"" w Szczecinie";320475623;PL;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;Szczecin;71-006;ul. ?ytnia;21;;PL;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;Szczecin;71-006;ul. ?ytnia;21;;ZACHODNIOPOMORSKIE/Szczecin/Szczecin (gmina miejska);48 607 606 720;;04.02.2008;;26;;;;;;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne , Ratownictwo poszukiwawcze , Inne specjalistyczne (Ratownictwo wysokogórskie)
89;Dolno?l?ski Oddzia? Drogowego Ochotniczego Pogotowia Ratunkowego;142873940;PL;DOLNO?L?SKIE;Wroc?aw;;Wroc?aw;54-206; Legnicka;65;;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-Krzyki;Wroc?aw;50-427; Krakowska;90;;Wszystkie;48 577 924 112;wroclaw@dopr.org.pl;01.01.2013;;30;1 stycze?;31 grudzie?;24;30/24;20;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne 
90;Fundacja Medic;932852517;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-Stare Miasto;Wroc?aw;53-658;ul. D?uga;16B;93;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-Stare Miasto;Wroc?aw;53-658;ul. D?uga;16B;93;Wszystkie;519482486;biuro@orisn.org;;;100;1 stycze?;31 grudzie?;24;30/24;2000;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne 
91;"Grupa Ratownictwa Medycznego Polskiego Czerwonego Krzy?a ""Wroc?aw""";7023731;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-?ródmie?cie;Wroc?aw;50-345;ul. Odona Bujwida;34;;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-?ródmie?cie;Wroc?aw;50-345;ul. Odona Bujwida;34;;DOLNO?L?SKIE/Wszystkie, KUJAWSKO-POMORSKIE/Wszystkie, LUBELSKIE/Wszystkie, LUBUSKIE/Wszystkie, ?ÓDZKIE/Wszystkie, MA?OPOLSKIE/Wszystkie, MAZOWIECKIE/Wszystkie, OPOLSKIE/Wszystkie, PODKARPACKIE/Wszystkie, PODLASKIE, POMORSKIE/Wszystkie, ?L?SKIE/Wszystkie, ?WI?TOKRZYSKIE/Wszystkie, WARMI?SKO-MAZURSKIE/Wszystkie, WIELKOPOLSKIE/Wszystkie, ZACHODNIOPOMORSKIE/Wszystkie;509 176 779;grm.wroclaw@pck.org.pl;10.06.1999;;30;;;24;30/24;30;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
92;"Fundacja Wielka Orkiestra ?wi?tecznej Pomocy ""Medyczny Patrol""";10168068;PL;MAZOWIECKIE;Warszawa;Mokotów;Warszawa;02-738;ul. Dominika?ska;19c;-;PL;POMORSKIE;kwidzy?ski;Kwidzyn;Szadowo;82-500;;1;-;POMORSKIE/kwidzy?ski/Kwidzyn (gmina wiejska), LUBUSKIE/gorzowski/Kostrzyn nad Odr? (gmina miejska), MAZOWIECKIE/Warszawa/Wszystkie;+ 48 55 261 34 55;ratownictwo@wosp.org.pl;;;195;1 stycze?;31 grudzie?;12;30/24;24;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne 
93;Ochotnicza Stra? Po?arna LAZARUS;21223152;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-Krzyki;Wroc?aw;53-143;ul. Orla;16;1;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-Krzyki;Wroc?aw;53-111;ul. ?l??na;146-148;;Wszystkie;506-481-999;lazarus112@wp.pl;;;20;1 stycze?;31 grudzie?;24;30/24;22;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne 
